"External ID","Name","State","Country","Zip"
"__export__.res_city_19083_f9d7c0e6","ALDEA MARIA LUISA","base.state_ar_e","base.ar","311400"
"__export__.res_city_19084_05fd882f","ALDEA S.ANTONIO","base.state_ar_e","base.ar","282600"
"__export__.res_city_19085_d90a0936","ALDEA SAN MIGUEL","base.state_ar_e","base.ar","311601"
"__export__.res_city_19086_e8ae7041","ALDEA SANTA MARIA","base.state_ar_e","base.ar","312300"
"__export__.res_city_19087_475c9c61","ALDEA SPATZENKUTTER","base.state_ar_e","base.ar","310106"
"__export__.res_city_19088_0195df5c","ALDERETES","base.state_ar_t","base.ar","417801"
"__export__.res_city_19089_3c5c6833","ALDO BONZI","base.state_ar_b","base.ar","177000"
"__export__.res_city_19090_a3ff89a7","ALEJANDRA","base.state_ar_s","base.ar","305100"
"__export__.res_city_19091_2eae6edf","ALEJANDRO","base.state_es_co","base.ar","268600"
"__export__.res_city_19092_977e8b9c","ALEJANDRO KORN","base.state_ar_b","base.ar","186400"
"__export__.res_city_19093_36e32380","ALEJO LEDESMA","base.state_es_co","base.ar","266200"
"__export__.res_city_19094_ec49c0a3","ALGARROBO","base.state_ar_b","base.ar","293501"
"__export__.res_city_19095_9378d037","ALICIA","base.state_es_co","base.ar","594900"
"__export__.res_city_19096_d59ccd26","ALICURA","base.state_ar_q","base.ar","840300"
"__export__.res_city_19097_b132ce82","ALIJILAN","base.state_ar_k","base.ar","472303"
"__export__.res_city_19098_cafd274a","ALLEN","base.state_ar_r","base.ar","832800"
"__export__.res_city_19099_72c6ed33","ALLEN/VALLEMAR","base.state_ar_r","base.ar","832801"
"__export__.res_city_19100_d277d042","ALMAFUERTE","base.state_es_co","base.ar","585400"
"__export__.res_city_19101_5cb890bc","ALMIRANTE BROW","base.state_ar_n","base.ar","338500"
"__export__.res_city_19102_feec0316","ALMIRANTE BROWN","base.state_ar_n","base.ar","337100"
"__export__.res_city_19103_be7dff86","ALMIRANTE BROWN","base.state_ar_n","base.ar","336601"
"__export__.res_city_19104_478b9eeb","ALMIRANTE BROWN","base.state_es_co","base.ar","502001"
"__export__.res_city_19105_3b3cd0e1","ALPA CORRAL","base.state_es_co","base.ar","580101"
"__export__.res_city_19106_d7fe7d59","ALPACHIRI","base.state_ar_l","base.ar","630900"
"__export__.res_city_19107_611bd882","ALPACHIRI/LA PAMPA","base.state_ar_l","base.ar","630902"
"__export__.res_city_19108_474e071a","ALSINA","base.state_ar_b","base.ar","293800"
"__export__.res_city_19109_1a227e6f","ALTA BARDA","base.state_ar_q","base.ar","833201"
"__export__.res_city_19110_b84b7cb2","ALTA CORRAL","base.state_es_co","base.ar","580108"
"__export__.res_city_19111_39c38ab1","ALTA GRACIA","base.state_es_co","base.ar","518600"
"__export__.res_city_19112_1a65b776","ALTA ITALIA","base.state_ar_l","base.ar","620700"
